date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:36	7000/7000	---M--	200	added ('OK')	image/png	etag:%221b6a-5fbb9ef28914a%22	https://info.dextools.io/content/uploads/2023/03/Yahoo_.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/03/Yahoo_.png	(from https://info.dextools.io/)
16:14:37	35706/35706	---M--	200	added ('OK')	image/png	etag:%229353-5fbb9ee4bfc4b%22	https://info.dextools.io/content/uploads/2023/04/cointelegraph_b.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/cointelegraph_b.png	(from https://info.dextools.io/)
16:14:37	22766/22766	---M--	200	added ('OK')	image/png	etag:%225929-5fbb9eec6ba4e%22	https://info.dextools.io/content/uploads/2023/04/vozastu_p.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/vozastu_p.png	(from https://info.dextools.io/)
16:14:37	7746/7746	---M--	200	added ('OK')	image/png	etag:%221e59-5fbb9ee0dbab9%22	https://info.dextools.io/content/uploads/2023/04/Blockchain-Aragon_2.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Blockchain-Aragon_2.png	(from https://info.dextools.io/)
16:14:38	23451/23451	---M--	200	added ('OK')	image/png	etag:%225ba7-5fbb9ee88a79d%22	https://info.dextools.io/content/uploads/2023/04/Theobjetive_.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/Theobjetive_.png	(from https://info.dextools.io/)
16:14:38	3851/3851	---M--	200	added ('OK')	image/png	etag:%22f0e-5fbb9eeff1fdf%22	https://info.dextools.io/content/uploads/2023/04/qwoted_.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/qwoted_.png	(from https://info.dextools.io/)
16:14:38	1659/1659	---M--	200	added ('OK')	image/png	etag:%228f0-5fbb9eeb12ea8%22	https://info.dextools.io/content/uploads/2023/04/RTPA_.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/RTPA_.png	(from https://info.dextools.io/)
16:14:39	19044/19044	---M--	200	added ('OK')	image/png	etag:%224a8f-5fbb9edb63461%22	https://info.dextools.io/content/uploads/2023/04/crossingYB_.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/04/crossingYB_.png	(from https://info.dextools.io/)
16:14:39	12538/12538	---M--	200	added ('OK')	image/png	etag:%2230fa-5fbb9f040f6d8%22	https://info.dextools.io/content/uploads/2023/03/dextools-academy.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/03/dextools-academy.png	(from https://info.dextools.io/)
16:14:39	373796/373796	---M--	200	added ('OK')	image/jpeg	etag:%225c20d-5ffac18e1f1bb%22	https://info.dextools.io/content/uploads/2023/07/dext-utility-token_.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/07/dext-utility-token_.jpg	(from https://info.dextools.io/)
16:14:40	306772/306772	---M--	200	added ('OK')	image/jpeg	etag:%224b645-5ff1bd395ce95%22	https://info.dextools.io/content/uploads/2023/06/BNB-testnet_-1.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/BNB-testnet_-1.jpg	(from https://info.dextools.io/)
16:14:40	304929/304929	---M--	200	added ('OK')	image/jpeg	etag:%224b10a-5fea99b3c6959%22	https://info.dextools.io/content/uploads/2023/06/DEXTools-Price-Bot-.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/DEXTools-Price-Bot-.jpg	(from https://info.dextools.io/)
16:14:41	483147/483147	---M--	200	added ('OK')	image/jpeg	etag:%2276c87-5fe8f95974d16%22	https://info.dextools.io/content/uploads/2023/06/AI-Crypto-2.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/AI-Crypto-2.jpg	(from https://info.dextools.io/)
16:14:42	31996/31996	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:44%20GMT	https://info.dextools.io/crypto-glossary/51-attack/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/51-attack/index.html	(from https://info.dextools.io/)
16:14:43	55715/55715	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:44%20GMT	https://info.dextools.io/crypto-glossary/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/index.html	(from https://info.dextools.io/)
16:14:43	31929/31929	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:44%20GMT	https://info.dextools.io/crypto-glossary/airdrop/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/airdrop/index.html	(from https://info.dextools.io/)
16:14:43	468830/468830	---M--	200	added ('OK')	image/jpeg	etag:%2273f94-5fe78ac0594d5%22	https://info.dextools.io/content/uploads/2023/06/KYC-twitter-1.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/KYC-twitter-1.jpg	(from https://info.dextools.io/)
16:14:45	31720/31720	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:46%20GMT	https://info.dextools.io/crypto-glossary/ama/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/ama/index.html	(from https://info.dextools.io/)
16:14:46	32618/32618	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:47%20GMT	https://info.dextools.io/crypto-glossary/what-is-aml/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/what-is-aml/index.html	(from https://info.dextools.io/)
16:14:46	31639/31639	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:47%20GMT	https://info.dextools.io/crypto-glossary/altcoin/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/altcoin/index.html	(from https://info.dextools.io/)
16:14:46	620193/620193	---M--	200	added ('OK')	image/jpeg	etag:%2299271-5fe7a30022009%22	https://info.dextools.io/content/uploads/2023/06/UNI_V4_-1.jpg	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/UNI_V4_-1.jpg	(from https://info.dextools.io/)
16:14:46	8405/8405	---M--	200	added ('OK')	image/png	etag:%2220d5-5fbb9f1320dd6%22	https://info.dextools.io/content/themes/dext/img/dextools-instagram.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/themes/dext/img/dextools-instagram.png	(from https://info.dextools.io/)
16:14:46	163/163	---M--	200	added ('OK')	image/png	etag:%22b0-5fc85036aa7fa%22	https://info.dextools.io/content/plugins/instagram-feed/img/placeholder.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/plugins/instagram-feed/img/placeholder.png	(from https://info.dextools.io/)
16:14:47	4688/4688	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:49%20GMT	https://info.dextools.io/cdn-cgi/l/email-protection	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/cdn-cgi/l/email-protection.html	(from https://info.dextools.io/)
16:14:48	32250/32250	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:49%20GMT	https://info.dextools.io/crypto-glossary/514/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/514/index.html	(from https://info.dextools.io/)
16:14:48	33321/33321	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:50%20GMT	https://info.dextools.io/crypto-glossary/asic/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/asic/index.html	(from https://info.dextools.io/)
16:14:48	32101/32101	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:50%20GMT	https://info.dextools.io/crypto-glossary/ath/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/ath/index.html	(from https://info.dextools.io/)
16:14:48	3191/3191	---M--	200	added ('OK')	image/png	etag:%22c77-5fbb9f87f33f0%22	https://info.dextools.io/content/themes/dext/img/mini-dextools.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/themes/dext/img/mini-dextools.png	(from https://info.dextools.io/)
16:14:48	32070/32070	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:51%20GMT	https://info.dextools.io/crypto-glossary/atl/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/atl/index.html	(from https://info.dextools.io/)
16:14:49	753/753	---M--	200	added ('OK')	image/png	etag:%222f1-5fd1812ebe31f%22	https://info.dextools.io/content/uploads/2023/06/brandkit_icon_white.png	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/uploads/2023/06/brandkit_icon_white.png	(from https://info.dextools.io/)
16:14:49	33378/33378	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:52%20GMT	https://info.dextools.io/crypto-glossary/automated-market-maker-amm/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/automated-market-maker-amm/index.html	(from https://info.dextools.io/)
16:14:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264941465-4d7%22	https://info.dextools.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://info.dextools.io/)
16:14:50	32002/32002	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:52%20GMT	https://info.dextools.io/crypto-glossary/axie-infinity/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/axie-infinity/index.html	(from https://info.dextools.io/)
16:14:50	33443/33443	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:53%20GMT	https://info.dextools.io/crypto-glossary/base-asset-quote-asset-cryptocurrency-pair/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/base-asset-quote-asset-cryptocurrency-pair/index.html	(from https://info.dextools.io/)
16:14:50	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2006%20Jul%202023%2009:14:53%20GMT	https://info.dextools.io/wp-admin/admin-ajax.php	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/wp-admin/admin-ajax.php	(from https://info.dextools.io/)
16:14:51	31836/31836	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:53%20GMT	https://info.dextools.io/crypto-glossary/bear-market/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/bear-market/index.html	(from https://info.dextools.io/)
16:14:51	80599/80599	---M-Z	200	added ('OK')	text/javascript	etag:%2213ad7-5fa640d28bb00-gzip%22	https://info.dextools.io/content/themes/dext/components/bootstrap/bootstrap.bundle.min.js	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/themes/dext/components/bootstrap/bootstrap.bundle.min.js	(from https://info.dextools.io/)
16:14:51	31987/31987	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:54%20GMT	https://info.dextools.io/crypto-glossary/bep-2/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/bep-2/index.html	(from https://info.dextools.io/)
16:14:51	32005/32005	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:54%20GMT	https://info.dextools.io/crypto-glossary/bep-20/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/bep-20/index.html	(from https://info.dextools.io/)
16:14:52	31408/31408	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:54%20GMT	https://info.dextools.io/crypto-glossary/bep-95/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/bep-95/index.html	(from https://info.dextools.io/)
16:14:52	24103/24103	---M-Z	200	added ('OK')	text/javascript	etag:%225e27-5fa64174ab980-gzip%22	https://info.dextools.io/content/themes/dext/components/masonry/masonry.pkgd.min.js	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/content/themes/dext/components/masonry/masonry.pkgd.min.js	(from https://info.dextools.io/)
16:14:52	32284/32284	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202023%2009:14:54%20GMT	https://info.dextools.io/crypto-glossary/binance/	D:/ToolKits/CloneWebsite/Cloned/info.dextools.io/info.dextools.io/crypto-glossary/binance/index.html	(from https://info.dextools.io/)
